一上國語文(部必-體4、技3),國語文Ⅰ
一上國文精讀(校必1),國文精讀Ⅰ
一上英語文(部必-體4、技2),英語文Ⅰ
一上數學(部必-體技4、食園3、機車2),數學Ⅰ
一上物理(部必-體1、技2),物理Ⅰ
(園藝)一上農業概論(部必3),農業概論Ⅰ
一上基本電學(電機部必3、汽機部必2、生機校必2),基本電學Ⅰ
(機械、生機)一上機械製造(部必2),機械製造Ⅰ
一上、二上、三上藝術生活(部必1),藝術生活Ⅰ
一上、二上、三上公民與社會(部必2),公民與社會Ⅰ
一上、二上歷史(部必2),歷史Ⅰ
一上生涯規劃(部必1),生涯規劃Ⅰ
(汽、機車)一上引擎原理(部必3),引擎原理Ⅰ
(食品)一上分析化學(校必2),分析化學Ⅰ
(園藝、食品)一上生物(部必-園2、品1),生物Ⅰ
一上全民國防教育(部必1),全民國防教育Ⅰ
(園藝)一上農業安全衛生(部必1),農業安全衛生Ⅰ
一上英語會話(校必1),英語會話Ⅰ
一上閩南語(部必1),閩南語文Ⅰ
(園藝)一上基礎園藝(校必2),基礎園藝Ⅰ
一上體育(部必2),體育Ⅰ
一上健康與護理(部必1),健康與護理Ⅰ
一上、二上、三上資訊科技(部必1),資訊科技Ⅰ
一上、二上地理(部必2),地理Ⅰ
一上、二上、三上美術(部必1),美術Ⅰ
(汽車)一上電工大意(校必2),電工大意Ⅰ
一上、二上生活法律常識(校必2),生活法律常識Ⅰ